Car_Name,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
ritz,2014,5.59,27000,Petrol,Dealer,Manual,0,3.35
sx4,2013,9.54,43000,Diesel,Dealer,Manual,0,4.75
ciaz,2017,9.85,6900,Petrol,Dealer,Manual,0,7.25
wagon r,2011,4.15,5200,Petrol,Dealer,Manual,0,2.85
swift,2014,6.87,42450,Diesel,Dealer,Manual,0,4.6
vitara brezza,2018,9.83,2071,Diesel,Dealer,Manual,0,9.25
ciaz,2015,8.12,18796,Petrol,Dealer,Manual,0,6.75
s cross,2015,8.61,33429,Diesel,Dealer,Manual,0,6.5
ciaz,2016,8.89,20273,Diesel,Dealer,Manual,0,8.75
ciaz,2015,8.92,42367,Diesel,Dealer,Manual,0,7.45
alto 800,2017,3.6,2135,Petrol,Dealer,Manual,0,2.85
ciaz,2015,10.38,51000,Diesel,Dealer,Manual,0,6.85
ciaz,2015,9.94,15000,Petrol,Dealer,Automatic,0,7.5
ertiga,2015,7.71,26000,Petrol,Dealer,Manual,0,6.1
dzire,2009,7.21,77427,Petrol,Dealer,Manual,0,2.25
ertiga,2016,10.79,43000,Diesel,Dealer,Manual,0,7.75
ertiga,2015,10.79,41678,Diesel,Dealer,Manual,0,7.25
ertiga,2016,10.79,43000,Diesel,Dealer,Manual,0,7.75
wagon r,2015,5.09,35500,CNG,Dealer,Manual,0,3.25
sx4,2010,7.98,41442,Petrol,Dealer,Manual,0,2.65
alto k10,2016,3.95,25000,Petrol,Dealer,Manual,0,2.85
ignis,2017,5.71,2400,Petrol,Dealer,Manual,0,4.9
sx4,2011,8.01,50000,Petrol,Dealer,Automatic,0,4.4
alto k10,2014,3.46,45280,Petrol,Dealer,Manual,0,2.5
wagon r,2013,4.41,56879,Petrol,Dealer,Manual,0,2.9
swift,2011,4.99,20000,Petrol,Dealer,Manual,0,3
swift,2013,5.87,55138,Petrol,Dealer,Manual,0,4.15
swift,2017,6.49,16200,Petrol,Individual,Manual,0,6
alto k10,2010,3.95,44542,Petrol,Dealer,Manual,0,1.95
ciaz,2015,10.38,45000,Diesel,Dealer,Manual,0,7.45
ritz,2012,5.98,51439,Diesel,Dealer,Manual,0,3.1
ritz,2011,4.89,54200,Petrol,Dealer,Manual,0,2.35
swift,2014,7.49,39000,Diesel,Dealer,Manual,0,4.95
ertiga,2014,9.95,45000,Diesel,Dealer,Manual,0,6
dzire,2014,8.06,45000,Diesel,Dealer,Manual,0,5.5
sx4,2011,7.74,49998,CNG,Dealer,Manual,0,2.95
dzire,2015,7.2,48767,Petrol,Dealer,Manual,0,4.65
alto 800,2003,2.28,127000,Petrol,Individual,Manual,0,0.35
alto k10,2016,3.76,10079,Petrol,Dealer,Manual,0,3
sx4,2003,7.98,62000,Petrol,Dealer,Manual,0,2.25
baleno,2016,7.87,24524,Petrol,Dealer,Automatic,0,5.85
alto k10,2014,3.98,46706,Petrol,Dealer,Manual,0,2.55
sx4,2008,7.15,58000,Petrol,Dealer,Manual,0,1.95
dzire,2014,8.06,45780,Diesel,Dealer,Manual,0,5.5
omni,2012,2.69,50000,Petrol,Dealer,Manual,0,1.25
ciaz,2014,12.04,15000,Petrol,Dealer,Automatic,0,7.5
ritz,2013,4.89,64532,Petrol,Dealer,Manual,0,2.65
wagon r,2006,4.15,65000,Petrol,Dealer,Manual,0,1.05
ertiga,2015,7.71,25870,Petrol,Dealer,Manual,0,5.8
ciaz,2017,9.29,37000,Petrol,Dealer,Automatic,0,7.75
fortuner,2012,30.61,104707,Diesel,Dealer,Automatic,0,14.9
fortuner,2015,30.61,40000,Diesel,Dealer,Automatic,0,23
innova,2017,19.77,15000,Diesel,Dealer,Automatic,0,18
fortuner,2013,30.61,135000,Diesel,Individual,Automatic,0,16
innova,2005,10.21,90000,Petrol,Individual,Manual,0,2.75
corolla altis,2009,15.04,70000,Petrol,Dealer,Automatic,0,3.6
etios cross,2015,7.27,40534,Petrol,Dealer,Manual,0,4.5
corolla altis,2010,18.54,50000,Petrol,Dealer,Manual,0,4.75
etios g,2014,6.8,39485,Petrol,Dealer,Manual,1,4.1
fortuner,2014,35.96,41000,Diesel,Dealer,Automatic,0,19.99
corolla altis,2013,18.61,40001,Petrol,Dealer,Manual,0,6.95
etios cross,2015,7.7,40588,Petrol,Dealer,Manual,0,4.5
fortuner,2014,35.96,78000,Diesel,Dealer,Automatic,0,18.75
fortuner,2015,35.96,47000,Diesel,Dealer,Automatic,0,23.5
fortuner,2017,36.23,6000,Diesel,Dealer,Automatic,0,33
etios liva,2014,6.95,45000,Diesel,Dealer,Manual,0,4.75
innova,2017,23.15,11000,Petrol,Dealer,Automatic,0,19.75
fortuner,2010,20.45,59000,Diesel,Dealer,Manual,0,9.25
corolla altis,2011,13.74,88000,Petrol,Dealer,Manual,0,4.35
corolla altis,2016,20.91,12000,Petrol,Dealer,Manual,0,14.25
etios liva,2014,6.76,71000,Diesel,Dealer,Manual,0,3.95
corolla altis,2011,12.48,45000,Diesel,Dealer,Manual,0,4.5
corolla altis,2013,18.61,56001,Petrol,Dealer,Manual,0,7.45
etios liva,2011,5.71,43000,Petrol,Dealer,Manual,0,2.65
etios cross,2014,8.93,83000,Diesel,Dealer,Manual,0,4.9
etios g,2015,6.8,36000,Petrol,Dealer,Manual,0,3.95
corolla altis,2013,14.68,72000,Petrol,Dealer,Manual,0,5.5
corolla,2004,12.35,135154,Petrol,Dealer,Automatic,0,1.5
corolla altis,2010,22.83,80000,Petrol,Dealer,Automatic,0,5.25
fortuner,2012,30.61,89000,Diesel,Dealer,Automatic,0,14.5
corolla altis,2016,14.89,23000,Diesel,Dealer,Manual,0,14.73
etios gd,2015,7.85,40000,Diesel,Dealer,Manual,0,4.75
innova,2017,25.39,15000,Diesel,Dealer,Automatic,0,23
innova,2015,13.46,38000,Diesel,Dealer,Manual,0,12.5
innova,2005,13.46,197176,Diesel,Dealer,Manual,0,3.49
camry,2006,23.73,142000,Petrol,Individual,Automatic,3,2.5
land cruiser,2010,92.6,78000,Diesel,Dealer,Manual,0,35
corolla altis,2012,13.74,56000,Petrol,Dealer,Manual,0,5.9
etios liva,2013,6.05,47000,Petrol,Dealer,Manual,0,3.45
etios g,2014,6.76,40000,Petrol,Dealer,Manual,0,4.75
corolla altis,2009,18.61,62000,Petrol,Dealer,Manual,0,3.8
innova,2014,16.09,58242,Diesel,Dealer,Manual,0,11.25
innova,2005,13.7,75000,Petrol,Dealer,Manual,0,3.51
fortuner,2015,30.61,40000,Diesel,Dealer,Automatic,0,23
corolla altis,2008,22.78,89000,Petrol,Dealer,Automatic,0,4
corolla altis,2012,18.61,72000,Petrol,Dealer,Manual,0,5.85
innova,2016,25.39,29000,Diesel,Dealer,Automatic,0,20.75
corolla altis,2017,18.64,8700,Petrol,Dealer,Manual,0,17
corolla altis,2013,18.61,45000,Petrol,Dealer,Manual,0,7.05
fortuner,2010,20.45,50024,Diesel,Dealer,Manual,0,9.65
i20,2010,6.79,58000,Diesel,Dealer,Manual,1,3.25
grand i10,2015,5.7,28200,Petrol,Dealer,Manual,0,4.4
i10,2011,4.6,53460,Petrol,Dealer,Manual,0,2.95
eon,2015,4.43,28282,Petrol,Dealer,Manual,0,2.75
grand i10,2016,5.7,3493,Petrol,Dealer,Manual,1,5.25
xcent,2017,7.13,12479,Petrol,Dealer,Manual,0,5.75
grand i10,2015,5.7,34797,Petrol,Dealer,Automatic,0,5.15
