car_name,model_year,present_price,km_driven,seller_type,fuel_type,transmission_type,ownsership,selling_price
Maruti Alto,2013,2385000,120000,Individual,Petrol,Manual,First Owner,120000
Hyundai Grand,2021,111000,20000,Individual,Petrol,Manual,First Owner,550000
Hyundai i20,2022,1530000,60000,Individual,Petrol,Manual,First Owner,215000
Maruti Alto,2015,1650000,37000,Individual,Petrol,Manual,First Owner,226000
Ford Ecosport,2021,1435000,30000,Dealer,Diesel,Manual,First Owner,570000
Maruti Wagon R,2016,3850000,35000,Individual,Petrol,Manual,First Owner,350000
Hyundai i10,2017,1440000,40000,Dealer,Petrol,Manual,First Owner,315000
Maruti Wagon R,2001,1425000,17512,Dealer,Petrol,Manual,First Owner,410000
Hyundai Venue,2021,2650000,20000,Individual,Petrol,Automatic,Second Owner,1050000
Maruti Swift,2020,3350000,28321,Dealer,Petrol,Manual,First Owner,511000
Hyundai Verna,2021,3200000,65278,Dealer,Diesel,Manual,First Owner,425000
Renault Duster,2019,1990000,50000,Individual,Diesel,Manual,First Owner,750000
Mini Cooper,2021,185000,6000,Dealer,Petrol,Automatic,First Owner,3250000
Maruti Ciaz,2022,920000,76000,Dealer,Diesel,Manual,First Owner,650000
Maruti Swift,2020,2750000,20000,Individual,Diesel,Manual,First Owner,627000
Mercedes-Benz C-Class,2013,1150000,65000,Dealer,Diesel,Automatic,First Owner,1425000
Maruti Swift,2021,910000,62200,Dealer,Diesel,Manual,First Owner,425000
Toyota Innova,2013,8650000,110000,Individual,Diesel,Manual,First Owner,605000
Maruti Baleno,2003,1625000,20000,Individual,Petrol,Manual,First Owner,600000
Maruti Swift Dzire,2018,2100000,40000,Individual,Petrol,Manual,First Owner,575000
Volkswagen Vento,2023,965000,47000,Dealer,Petrol,Manual,First Owner,425000
Maruti Alto,2000,840000,25000,Dealer,Petrol,Manual,First Owner,230000
Hyundai Creta,2020,1485000,15000,Individual,Diesel,Manual,Second Owner,1225000
Honda City,2023,400000,50000,Individual,Petrol,Manual,Second Owner,750000
